Designator,Mid X,Mid Y,Layer,Rotation
D264,21.15,-60.23,T,270.00
D265,22.90,-150.22,T,270.00
D265,22.90,-60.23,T,270.00
D266,24.65,-150.22,T,270.00
D266,24.65,-60.23,T,270.00
D267,26.40,-150.22,T,270.00
D267,26.40,-60.23,T,270.00
D268,28.15,-60.23,T,270.00
D268,28.15,-150.22,T,270.00
D269,29.90,-60.23,T,270.00
D269,29.90,-150.22,T,270.00
D270,31.65,-150.22,T,270.00
D270,31.65,-60.23,T,270.00
D271,33.40,-150.22,T,270.00
D271,33.40,-60.23,T,270.00
D272,35.15,-150.22,T,270.00
D272,35.15,-60.23,T,270.00
D273,36.90,-60.23,T,270.00
D273,36.90,-150.22,T,270.00
D274,38.65,-60.23,T,270.00
D274,38.65,-150.22,T,270.00
D275,40.40,-150.22,T,270.00
D275,40.40,-60.23,T,270.00
D276,42.15,-150.22,T,270.00
D276,42.15,-60.23,T,270.00
D277,43.90,-150.22,T,270.00
D277,43.90,-60.23,T,270.00
D278,45.65,-150.22,T,270.00
D278,45.65,-60.23,T,270.00
D279,47.40,-150.22,T,270.00
D279,47.40,-60.23,T,270.00
D280,49.15,-60.23,T,270.00
D280,49.15,-150.22,T,270.00
D281,50.90,-60.23,T,270.00
D281,50.90,-150.22,T,270.00
D282,52.65,-60.23,T,270.00
D282,52.65,-150.22,T,270.00
D283,54.40,-150.22,T,270.00
D283,54.40,-60.23,T,270.00
D284,56.15,-150.22,T,270.00
D284,56.15,-60.23,T,270.00
D285,57.90,-150.22,T,270.00
D285,57.90,-60.23,T,270.00
D286,59.65,-150.22,T,270.00
D286,59.65,-60.23,T,270.00
D287,61.40,-60.23,T,270.00
D287,61.40,-150.22,T,270.00
D288,63.15,-60.23,T,270.00
D288,63.15,-150.22,T,270.00
D289,8.90,-58.48,T,270.00
D289,8.90,-148.47,T,270.00
D290,10.65,-58.48,T,270.00
D290,10.65,-148.47,T,270.00
D291,12.40,-58.48,T,270.00
D291,12.40,-148.47,T,270.00
D292,14.15,-58.48,T,270.00
D292,14.15,-148.47,T,270.00
D293,15.90,-148.47,T,270.00
D293,15.90,-58.48,T,270.00
D294,17.65,-58.48,T,270.00
D294,17.65,-148.47,T,270.00
D295,19.40,-58.48,T,270.00
D295,19.40,-148.47,T,270.00
D296,21.15,-148.47,T,270.00
D296,21.15,-58.48,T,270.00
D297,22.90,-58.48,T,270.00
D297,22.90,-148.47,T,270.00
D298,24.65,-58.48,T,270.00
D298,24.65,-148.47,T,270.00
D299,26.40,-148.47,T,270.00
D299,26.40,-58.48,T,270.00
D300,28.15,-58.48,T,270.00
